1,ESP,246,Iker,Martinez de Lizarduy,Tara,Pacheco
2,ITA,200,Vittorio,Bissaro,Silvia,Sicouri
3,FRA,1,Billy,Besson,Marie,Riou
4,DEN,248,Allan,Norregaard,Line,Just
5,AUS,133,Jason,Waterhouse,Lisa,Darmanin
6,GBR,76,Pippa,Wilson,John,Gimson
7,NED,243,Renee,Groeneveld,Steven,Krol
8,AUT,205,Thomas,Zajac,Tanja,Frank
9,SUI,220,Matías,Bühler,Nathalie,Brugger
10,ARU,212,Nicole,van der Velden,Thijs,Visser
11,ARG,226,Santiago,Lange,Cecilia,Carranza Saroli
12,AUS,158,Euan,McNicol,Lucinda,Whitty
13,FRA,77,Franck,Cammas,Sophie,De Turckheim
14,FRA,225,Moana,Vaireaux,Manon,Audinet
15,GBR,2,Ben,Saxton,Hannah,Diamond
16,FRA,85,Audrey,Ogereau,Matthieu,Vandame
17,GBR,42,Lucy,Macgregor,Andrew,Walsh
18,ITA,209,Lorenzo,Bressani,Giovanna,Micol
19,NZL,222,Gemma,Jones,Jason,Saunders
20,NED,244,Mandy,Mulder,Coen,De Koning
21,AUS,242,Darren,Bundock,Nina,Curtis
22,GBR,182,Tom,Phipps,Marie,Rook
23,GER,211,Paul,Kohlhoff,Carolina,Werner
24,AUS,67,Pip,Pietromonaco,James,Wierzbowski
25,NED,81,Elke,Delnooz,Jeroen,Van Leeuwen
26,ITA,219,Federica,Salvà,Francesco,Bianchi
27,GBR,120,Rupert,White,Boniface,Nikki
28,ITA,126,Francesco,Porro,Caterina Marian,Banti
29,DEN,82,Lin,Ea Cenholt Christiansen,Mateo,Masdalani
30,AUS,217,Evan,Walker,Annalise,Gilbert
31,FRA,78,Flora,Laugier,Valentin,Bellet
32,RUS,227,Maxim,Semenov,Alina,Shchetinkina
33,DEN,187,Anette,Viborg Andreasen,Christensen,Hjortlund
34,RUS,22,Sergey,Dzhienbaev,Daria,Ivanova
35,SWE,153,Ida,Svensson,Rasmus,Rosengren
36,BAR,231,Samuel,Albrecht,Georgia,Rodrigues De Silva
37,URU,147,Pablo,Defazio Abella,Mariana,Foglia
38,ITA,89,David,Bondì,Alessandra,Angelini
39,ITA,32,Vincenzo,Sorrentino,Giorgia,Catarci
40,GBR,152,Alicia,Clifford,Thomas,Bruton
41,GRE,210,Sofia,Bekatorou,Iordanis,Paschalidis
42,ITA,166,Francesco,Sabatini,Marcella,Mamusa
43,CAN,100,Luke,Ramsay,Louisa,Chafee
44,AUS,156,Paul,Darmanin,Lucy,Copeland
45,FRA,72,Charles,Hainneville,Alizee,Desbordes
46,JPN,249,Hiroki,Goto,Wakako,Tabata
47,BEL,161,Morgan,Good,Charlotte,Heijstek
48,GBR,162,Madeleine,Anderson,Finbar,Anderson
49,GER,92,Jakob,Lenz,Susann,Brechlin
50,USA,123,Stephanie,Hudson,Ian,Andrews
51,NOR,196,Nicholas,Fadler Martinsen,Martine Steller,Mortensen
52,RUS,255,Alena,Pankratova,Lurii,Artemev
53,EPS,198,Marc,Verdaguer Foz,Marina,Lopez Casanova
54,HKG,216,Tat Choi,Fung,Yu Ting,Chan
55,HUN,218,Flora,Virag,Balazs,Gecse
56,GER,45,Eckart,Kaphengst,Tine Marie,Kaphengst
57,ITA,165,Matteo,Ferraglia,Germana,Tognella
58,GER,221,Markus,Enzensperger,Katrin,Brunner
59,FRA,83,Vincent,Domand,Fanny,Merelle
60,GBR,119,Tim,Carter,Abbie,Hewitt
61,BUL,48,Alexander,Alexandrov,Maria,Alexandrova
62,BUL,47,Yoana,Petrova,Nikolay,Tashev
63,FRA,199,Ingrid,Petitjean,Olivier,Backes
64,BRA,230,Clinio,Marcelino de Freitas Neto,Claudia,Swan De Freitas
65,ESP,188,Toni,Rivas,Eli,Llagues
66,FRA,203,Romain,Bellet,Milena,Schoenahl
67,GER,10,Stefan,Rumpf,Anna Bettina,Goos
68,ESP,207,Ascension,Roca De Togores,Vernon,Cerdan Ming
69,MON,7,Blandine,Medecin Rodelato,Jean,Rodelato
70,RUS,13,Anastasiya,Kruchkova,Viacheslav,Sheludyakov
71,POR,20,Afonso,Domingos,Diana,Neves
