1	ITA	ITA-200	Vittorio Bissaro	Silvia Slcouri
2	FRA	FRA-065	Moana Vaireaux	Manon Audinet
3	FRA	FRA-063	Audrey Ogereau	Mathieu Vandame
4	AUS	AUS-158	Euan McNicol	Lucinda Whitty
5	NZL	NZL-222	Gemma Jones	Jason Saunders
6	ARU	ARU-212	Nicole van der Velden	Thijs Visser
7	AUS	AUS-133	Jason Waterhouse	Lisa Darmanin
8	ITA	ITA-126	Francesco Porro	Mariana Banti Caterina
9	FRA	FRA-199	Ingrid Petitjean	Oliver Backes
10	ITA	ITA-219	Federica Salvà	Francesco Bianchi
11	AUS	AUS-067	Pip Pietromonaco	James Wierzbowski
12	AUS	AUS-217	Evan Walker	Annalise Gilbert
13	RUS	RUS-227	Maxim Semenov	Alina Shchetinkina
14	USA	USA-027	Mark Mendelblatt	Carolina Mendelblatt
15	NZL	NZL-229	Rachel Basevi	Tomer Simhony
16	POR	POR-020	Afonso Domingos	Diana Neves
17	NZL	NZL-155	Geoffrey Woolley	Vicky Francis
18	ITA	ITA-165	Matteo Ferraglia	Gemana Tognella
19	NOR	NOR-196	Nicholas Fadler Martinsen	Martine Steller Mortensen
