NAME	COUNTRY	SAILNO	MEL	MIA	MAL	HYE	GAR	DEL	SFG	KIE	EUR	SAN	MEL2014	MIA2015	MAL2015	HYE2015	DEL2015
Darren Bundock	AUS	AUS-242	1	6	3	3	-1	3	-1	-1	21	9	2	-1	30	4	7
Euan McNicol	AUS	AUS-158	2	8	9	4	4	-1	-1	-1	12	12	3	13	8	18	5
Jason Waterhouse	AUS	AUS-003	3	19	16	12	7	6	-1	-1	5	3	1	-1	10	7	-1
Joshua Mcknight	AUS	AUS-157	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Gemma Jones	NZL	NZL-222	5	-1	14	13	5	12	-1	-1	19	5	-1	5	12	14	3
Paul Darmanin	AUS	AUS-156	6	-1	-1	-1	-1	-1	-1	15	44	-1	4	-1	-1	-1	-1
Pip Pietromonaco	AUS	AUS-067	7	-1	69	18	11	22	-1	-1	24	17	-1	-1	-1	-1	-1
Taylor Burn	NZL	NZL-159	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Vittorio Bissaro	ITA	ITA-262	-1	1	2	1	1	-1	-1	1	2	4	-1	1	6	11	-1
Thomas Zajac	AUT	AUT-277	-1	2	4	7	-1	-1	-1	4	8	14	-1	11	23	13	-1
Ben Saxton	GBR	GBR-254	-1	3	6	6	-1	4	3	-1	15	19	-1	2	19	5	9
Iker Martinez de Lizarduy	ESP	ESP-108	-1	4	5	-1	-1	-1	-1	-1	1	68	-1	12	-1	-1	42
Federica Salvà	ITA	ITA-219	-1	5	18	17	10	-1	-1	6	26	15	-1	28	21	17	10
Luke Ramsay	CAN	CAN-271	-1	7	33	31	-1	-1	-1	-1	43	36	-1	17	18	9	-1
Pippa Wilson	GBR	GBR-076	-1	9	13	10	-1	8	2	-1	6	8	-1	-1	-1	-1	-1
Gabrio Zandonã	ITA	ITA-087	-1	10	20	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Toni Rivas	ESP	ESP-204	-1	11	24	-1	-1	-1	-1	-1	65	46	-1	23	41	33	-1
